	Machine readable ID	Human readable ID	Name	formula	charge	Comments	BiGG	Other names
xoldioloneh	C05453	xoldioloneh	"7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one"	C27H46O3	0.0	BiGG compound	xoldioloneh	7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one, 5beta-Cholesten-7alpha,12alpha-diol-3-one
glucys	C00669	glucys	gamma-L-Glutamyl-L-cysteine	C8H13N2O5S	-1.0	BiGG compound	glucys	L-gamma-Glutamylcysteine, 5-L-Glutamyl-L-cysteine, gamma-Glutamylcysteine
3oodcoa	C16216	3oodcoa	3-Oxooctadecanoyl-CoA	C39H64N7O18P3S	-4.0	BiGG compound	3oodcoa	3-Oxostearoyl-CoA, beta-Ketostearoyl-CoA, 3-Ketostearoyl-CoA
tcynt	C01755	tcynt	Thiocyanate	CNS	-1.0	BiGG compound	tcynt	Thiocyanic acid
chsterol	C00187	chsterol	Cholesterol	C27H46O	0.0	BiGG compound	chsterol	Cholest-5-en-3beta-ol
fa17p0isocrn	CC0114	fa17p0isocrn	Fatty acyl (C17:iso) carnitine	C24H47NO4	0.0	charge and formula based on other acyl carnitines. | See CC0067 for custom fatty acid nomenclature; iso stands for isomer		
ddcacoa	C01832	ddcacoa	Dodecanoyl-CoA (n-C12:0CoA)	C33H54N7O17P3S	-4.0	BiGG compound	ddcacoa	Lauroyl-CoA, Lauroyl coenzyme A, Dodecanoyl-CoA
hgentis	C00544	hgentis	Homogentisate	C8H7O4	-1.0	BiGG compound	hgentis	Homogentisic acid, 2,5-Dihydroxyphenylacetic acid, 2,5-Dihydroxyphenylacetate
dolmanp	C03862	dolmanp	Dolichyl phosphate D-mannose	C116H190O9P	-1.0	assumed n=18 for the number of isoprene units	dolmanp	Dolichyl D-mannosyl phosphate
galgluside_ce	CC0214	galgluside_ce	galactosyl glucosyl ceramide	C49.5654H89.5778N1.0O13.0	0.0	charge based on human version in BiGG	galgluside_hs	
3mgcoa	C03231	3mgcoa	3-Methylglutaconyl-CoA	C27H37N7O19P3S	-5.0	BiGG compound	3mgcoa	trans-3-Methylglutaconyl-CoA, (E)-3-Methylglutaconyl-1-CoA
gcald	C00266	gcald	Glycolaldehyde	C2H4O2	0.0	BiGG compound	gcald	Hydroxyacetaldehyde
4h2oglt	C05946	4h2oglt	4-Hydroxy-2-oxoglutarate	C5H4O6	-2.0	BiGG compound	4h2oglt	(4R)-4-Hydroxy-2-oxoglutarate, (R)-2-Hydroxy-4-oxopentanedioate, D-4-Hydroxy-2-oxoglutarate
occrn	CC0088	occrn	Octanoyl carnitine	C15H29NO4	0.0	charge and formula based on other acyl carnitines		
3otdcoa	C05261	3otdcoa	3-Oxotetradecanoyl-CoA	C35H56N7O18P3S	-4.0	BiGG compound	3otdcoa	
fa16p3n6coa	CC0090	fa16p3n6coa	Intermediary fatty acid C16:3	C37H56N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds. | See CC0067 for custom fatty acid nomenclature		
fa15p0iso	CC0070	fa15p0iso	Fatty acid (C15:iso)	C15H29O2	-1.0	same as fa3 in BIGG; renamed to be consistent with the name convention here for fatty acids without a specific name. | See CC0067 for custom fatty acid nomenclature; iso stands for isomer	fa9,fa6,fa5,fa4,fa3,fa20n,fa19a,fa12,fa11,fa10,fa1	
accoa	C00024	accoa	Acetyl-CoA	C23H34N7O17P3S	-4.0	BiGG compound	accoa	Acetyl coenzyme A
meoh	C00132	meoh	Methanol	CH4O1	0.0	BiGG compound	meoh	Methyl alcohol, CH3OH
4izp	C03680	4izp	4-Imidazolone-5-propanoate	C6H7N2O3	-1.0	BiGG compound	4izp	4-Imidazolone-5-propionic acid, 4,5-Dihydro-4-oxo-5-imidazolepropanoate
n4abutn	C05936	n4abutn	N4-Acetylaminobutanal	C6H11NO2	0.0	BiGG compound	n4abutn	4-Acetamidobutanal
gluside_ce	CC0213	gluside_ce	glucocerebroside 	C43.5654H79.5778N1.0O8.0	-0.0	charge based on human version in BiGG	gluside_hs	
ppa	C00163	ppa	Propionate (n-C3:0)	C3H5O2	-1.0	BiGG compound	ppa	Propanoate, Propionate, Propanoic acid, Propionic acid
S3hb	C03197	S3hb	(S)-3-Hydroxybutanoate	C4H7O3	-1.0	charge is obvious based on general rules and similar compounds	bhb	
ppi	C00013	ppi	Diphosphate	HO7P2	-3.0	BiGG compound	ppi	Diphosphoric acid, Pyrophosphate, Pyrophosphoric acid, PPi
sl-L	C11499	sl-L	L-sulfolactate	C3H4O6S	-2.0	BiGG compound	sl-L	(S)-3-Sulfolactate, (2S)-3-Sulfolactate
L2aadp	C00956	L2aadp	L-2-Aminoadipate	C6H10NO4	-1.0	BiGG compound	L2aadp	L-alpha-Aminoadipate, L-alpha-Aminoadipic acid, L-2-Aminoadipic acid, L-2-Aminohexanedioate
tdcoa	C02593	tdcoa	Tetradecanoyl-CoA (n-C14:0CoA)	C35H58N7O17P3S	-4.0	BiGG compound	tdcoa	Tetradecanoyl-CoA, Myristoyl-CoA
retn	C00777	retn	Retinoate	C20H27O2	-1.0	BiGG compound	retn	Retinoic acid, Vitamin A acid, all-trans-Retinoate, Acide retinoique (French) (DSL), Tretinoine (French) (EINECS), 3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexene-1-yl)-2,4,6,8-nonatetraenoic acid (ECL), (all-E)-3,7-Dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid, beta-Retinoic acid, AGN 100335, all-(E)-Retinoic acid, all-trans-beta-Retinoic acid, all-trans-Retinoic acid, all-trans-Tretinoin, all-trans-Vitamin A acid, Ro 1-5488, trans-Retinoic acid, Tretin M, all-trans-Vitamin A1 acid
Nmelys	C03702	Nmelys	Histone N6-methyl-L-lysine	XC7H15N2O	1.0	formula and charge inferred from MetaCyc	Nmelys	
occoa	C01944	occoa	Octanoyl-CoA (n-C8:0CoA)	C29H46N7O17P3S	-4.0	BiGG compound	occoa	Octanoyl-CoA
3ascfa28p0	CC0177	3ascfa28p0	3-ascaryl-octacosanoic acid 	C34H65O6	-1.0	charge is based on the fatty acid chain		
r5p	C00117	r5p	alpha-D-Ribose 5-phosphate	C5H9O8P	-2.0	BiGG compound	r5p	D-Ribose 5-phosphate, Ribose 5-phosphate
tyrtrna	C02839	tyrtrna	L-Tyrosyl-tRNA(Tyr)	C9H11NO3R	1.0	tRNA formula in BiGG was modified for mass balance	tyrtrna	
dedol	CC0015	dedol	Dehydrodolichol, n=18	C110H178O1	0.0	assumed n=18 for the number of isoprene units		
fa11c3coa	CC0097	fa11c3coa	cis-3,4-methylenedecanoyl coa	C32H50N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds		
trnaphe	C01648	trnaphe	tRNA(Phe)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnaphe	
sbt-D	C00794	sbt-D	D-Sorbitol	C6H14O6	0.0	BiGG compound	sbt-D	D-Glucitol, L-Gulitol, Sorbitol
pcrn	CC0140	pcrn	Propionyl-carnitine	C10H19NO4	0.0	charge and formula based on other acyl carnitines	pcrn	
mal-L	C00149	mal-L	L-Malate	C4H4O5	-2.0	BiGG compound	mal-L	(S)-Malate, L-Apple acid, L-Malic acid, L-2-Hydroxybutanedioic acid, Malate, Malic acid
3padsel	C05696	3padsel	3'-Phosphoadenylylselenate	C10H11N5O13P2Se	-4.0	BiGG compound	3padsel	3'-Phosphoadenosine-5'-phosphoselenate
dag_tag	CC0082	dag_tag	diacylglycerol (TAG)	C37.6036H69.0188O5.0	-0.0	charge based on human version in BiGG	dag_hs	
ethamp	C00346	ethamp	Ethanolamine phosphate	C2H7NO4P	-1.0	BiGG compound	ethamp	O-Phosphorylethanolamine, Phosphoethanolamine, O-Phosphoethanolamine
crn	C00318	crn	L-Carnitine	C7H15NO3	0.0	BiGG compound	crn	L-gamma-Trimethyl-beta-hydroxybutyrobetaine, Vitamin BT, 3-Carboxy-2-hydroxy-N,N,N-trimethyl-1-propanaminium hydroxide, inner salt, Levocarnitine, (R)-Carnitine
od2coa	C16218	od2coa	trans-Octadec-2-enoyl-CoA	C39H64N7O17P3S	-4.0	BiGG compound	od2coa	(2E)-Octadecenoyl-CoA
ser-L	C00065	ser-L	L-Serine	C3H7NO3	0.0	BiGG compound	ser-L	L-2-Amino-3-hydroxypropionic acid, L-3-Hydroxy-alanine, Serine
trnatyr	C00787	trnatyr	tRNA(Tyr)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnatyr	
adocbl	C00194	adocbl	Adenosylcobalamin	C72H100CoN18O17P	0.0	BiGG compound	adocbl	Cobamide coenzyme, Adenosylcob(III)alamin, Deoxyadenosylcobalamin, Cobamamide, Vitamin B12 coenzyme, 5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide, (5'-Deoxy-5'-adenosyl)cobamide coenzyme, (5,6-Dimethylbenzimidazolyl)cobamide coenzyme, alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme, 5'-Deoxy-5'-adenosylcobalamin, 5'-Deoxy-5'-adenosyl vitamin B12, 5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide, 5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide, Calomide, Cobalamin coenzyme, Coenzyme B12, DMBC coenzyme, Dibencozide, Funacomide
akac2gp	C05977	akac2gp	2-Acyl-1-alkyl-sn-glycero-3-phosphate	C39.5654H73.5778O7.0P1.0	-2.0	charge based on human version in BiGG	ak2gp_hs	
fa8p1n3crn	CC0093	fa8p1n3crn	Fatty acyl C8:1 carnitine	C15H27NO4	0.0	charge and formula based on other acyl carnitines. | See CC0067 for custom fatty acid nomenclature		
DNA	CC0121	DNA	DNA (biomass)	C9.825H11.325N3.675O6.0P1.0	-1.0	for biomass equation; charge does not matter	DNA	
xan	C00385	xan	Xanthine	C5H4N4O2	0.0	BiGG compound	xan	
4aabutn	C02946	4aabutn	4-Acetamidobutanoate	C6H10NO3	-1.0	BiGG compound	4aabutn	N4-Acetylaminobutanoate
retnglc	C11061	retnglc	retinoyl glucuronide	C26H35O8	-1.0	BiGG compound	retnglc	all-trans-Retinoyl-beta-glucuronide
retpalm	C02588	retpalm	Retinyl palminate	C36H60O2	0.0	BiGG compound	retpalm	Retinyl palmitate, Vitamin A palmitate, all-trans-Retinyl palmitate, Retinol palmitate
trdox	C00343	trdox	Oxidized thioredoxin	X	0.0	BiGG compound	trdox	Thioredoxin disulfide, Thioredoxin sulfide
etha	C00189	etha	Ethanolamine	C2H8NO	1.0	BiGG compound	etha	Aminoethanol, 2-Hydroxyethylamine
3hdcoa	C05264	3hdcoa	(S)-3-Hydroxydecanoyl-CoA	C31H50N7O18P3S	-4.0	BiGG compound	3hdcoa	(S)-Hydroxydecanoyl-CoA
so3	C00094	so3	Sulfite	O3S	-2.0	BiGG compound	so3	Sulfurous acid
Rtotal	C00162	Rtotal	R total	C18.5654H31.5778O2.0	-1.0	BiGG compound	Rtotal	Fatty acid
so4	C00059	so4	Sulfate	O4S	-2.0	BiGG compound	so4	Sulfuric acid
dudp	C01346	dudp	dUDP	C9H11N2O11P2	-3.0	BiGG compound	dudp	2'-Deoxyuridine 5'-diphosphate
2np6mobq_me	CC0010	2np6mobq_me	2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinone	C53H80O3	0.0	charge based on 2dp6mobq_me in BIGG	2dp6mobq_me	
3hbcoa	C01144	3hbcoa	(S)-3-Hydroxybutanoyl-CoA	C25H38N7O18P3S	-4.0	BiGG compound	3hbcoa	(S)-3-Hydroxybutyryl-CoA
peptmelys	C05546	peptmelys	Protein N6,N6,N6-trimethyl-L-lysine	XC9H19N2O	1.0	formula and charge based on MetaCyc	Ntmelys	
3hpp	C01013	3hpp	3-Hydroxypropanoate	C3H5O3	-1.0	BiGG compound	3hpp	3-Hydroxypropanoic acid, 3-Hydroxypropionate, 3-Hydroxypropionic acid, Hydracrylic acid
dump	C00365	dump	dUMP	C9H11N2O8P	-2.0	BiGG compound	dump	Deoxyuridylic acid, Deoxyuridine monophosphate, Deoxyuridine 5'-phosphate, 2'-Deoxyuridine 5'-phosphate
xol7a	C03594	xol7a	7 alpha-Hydroxycholesterol	C27H46O2	0.0	BiGG compound	xol7a	7alpha-Hydroxycholesterol, Cholest-5-ene-3beta,7alpha-diol
odecrn	CC0101	odecrn	Octadecenoyl carnitine	C25H47NO4	0.0	charge and formula based on other acyl carnitines	odecrn	
fuc-L	C01019	fuc-L	L-Fucose	C6H12O5	0.0	BiGG compound		6-Deoxy-L-galactose
fa9p0isocrn	CC0115	fa9p0isocrn	Fatty acyl (C9:iso) carnitine	C16H31NO4	0.0	charge and formula based on other acyl carnitines. | See CC0067 for custom fatty acid nomenclature		
tststerone	C00535	tststerone	Testosterone	C19H28O2	0.0	BiGG compound	tststerone	17beta-Hydroxy-4-androsten-3-one
trptrna	C03512	trptrna	L-Tryptophanyl-tRNA(Trp)	C11H12N2O2R	1.0	tRNA formula in BiGG was modified for mass balance	trptrna	
pail3p	C04549	pail3p	1-Phosphatidyl-1D-myo-inositol 3-phosphate 	C46.1308H78.1556O16.0P2.0	-3.0	charge based on human version in BiGG	pail3p_hs	1-Phosphatidyl-1D-myo-inositol 3-phosphate, 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3'-phosphate)
4hpro-LT	C01157	4hpro-LT	trans-4-Hydroxy-L-proline	C5H9NO3	0.0	BiGG compound	4hpro-LT	Hydroxyproline, L-Hydroxyproline
fa17c9coa	CC0098	fa17c9coa	cis-9,10-methylenehexadecanoyl coa	C38H62N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds		
cinnavalininate	C05640	cinnavalininate	Cinnavalininate	C14H6N2O6	-2.0	charge based on DMET		Cinnabarinic acid
sph1p_ce	CC0208	sph1p_ce	Sphinganine 1-phosphate	C19H41NO5P	-1.0	charge based on matching BiGG compound	sph1p	
mettrna	C02430	mettrna	L-Methionyl-tRNA (Met)	C5H11NO2SR	1.0	tRNA formula in BiGG was modified for mass balance	mettrna	L-Methionyl-tRNA, L-Methionyl-tRNA(Met)
fdp	C00354	fdp	"D-Fructose 1,6-bisphosphate"	C6H10O12P2	-4.0	BiGG compound	fdp	D-Fructose 1,6-bisphosphate
rnam	C03150	rnam	N-Ribosylnicotinamide	C11H15N2O5	1.0	BiGG compound	rnam	Nicotinamide-beta-riboside, 1-(beta-D-Ribofuranosyl)nicotinamide
ascr7	CC0174	ascr7	Ascaroside 7	C13H21O6	-1.0	charge is based on the fatty acid chain		
aicar	C04677	aicar	5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide	C9H13N4O8P	-2.0	BiGG compound	aicar	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide, 5'-Phosphoribosyl-5-amino-4-imidazolecarboxamide, 5'-Phospho-ribosyl-5-amino-4-imidazole carboxamide, AICAR, 5-Aminoimidazole-4-carboxamide ribotide, 5-Phosphoribosyl-4-carbamoyl-5-aminoimidazole
cit	C00158	cit	Citrate	C6H5O7	-3.0	BiGG compound	cit	Citric acid, 2-Hydroxy-1,2,3-propanetricarboxylic acid, 2-Hydroxytricarballylic acid
inost	C00137	inost	myo-Inositol	C6H12O6	0.0	BiGG compound	inost	D-myo-Inositol, 1D-myo-Inositol, L-myo-Inositol, 1L-myo-Inositol, meso-Inositol, Inositol, Dambose, Cyclohexitol, Meat sugar, Bios I
aprop	C05714	aprop	alpha-Aminopropiononitrile	C3H7N2	1.0	BiGG compound	aprop	
fa16p1n7crn	CC0109	fa16p1n7crn	Palmitoleyl carnitine	C23H43NO4	0.0	charge and formula based on other acyl carnitines. | See CC0067 for custom fatty acid nomenclature		
galside_ce	CC0212	galside_ce	galactocerebroside 	C43.5654H79.5778N1.0O8.0	0.0	charge based on human version in BiGG	galside_hs	
odecoa	C00510	odecoa	Octadecenoyl-CoA (n-C18:1CoA)	C39H64N7O17P3S	-4.0	BiGG compound	odecoa	Oleoyl-CoA, (9Z)-Octadecenoyl-CoA
duri	C00526	duri	Deoxyuridine	C9H12N2O5	0.0	BiGG compound	duri	2-Deoxyuridine, 2'-Deoxyuridine
glutaur	C05844	glutaur	5-L-Glutamyl-taurine	C7H13N2O6S	-1.0	charge based on gluala and glucys, which take their sign from the glutamyl component; also taur itself has zero charge		5-Glutamyl-taurine, Glutaurine
3hddcoa	C05262	3hddcoa	(S)-3-Hydroxydodecanoyl-CoA	C33H54N7O18P3S	-4.0	BiGG compound	3hddcoa	
rq9	CC0157	rq9	Rhodoquinone-9	C53H81NO3	0.0	charge and formula based on q9		
cbp	C00169	cbp	Carbamoyl phosphate	CH2NO5P	-2.0	BiGG compound	cbp	
fa19c11crn	CC0112	fa19c11crn	cis-11,12-methyleneoctadecanoyl carnitine	C26H49NO4	0.0	charge and formula based on other acyl carnitines		
etfox	C04253	etfox	Electron transfer flavoprotein oxidized	R	0.0	BiGG compound	etfox	Electron-transferring flavoprotein, Electron-transfer flavoprotein
fa16p1n7coa	CC0067	fa16p1n7coa	Palmitoleyl-coA	C37H60N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds due to long neutral fatty acid chain and coa with well-determined charge. | nomenclature: fatty-acid, C number, p for pi, number of pi bonds, n as in omega nomenclature, C of first pi from the chain tip as in the omega nomenclature		
3hocoa	C05266	3hocoa	(S)-3-Hydroxyoctanoyl-CoA	C29H46N7O18P3S	-4.0	BiGG compound	3hocoa	(S)-3-Hydroxycapryloyl-CoA, (S)-Hydroxyoctanoyl-CoA
thmpp	C00068	thmpp	Thiamine diphosphate	C12H16N4O7P2S	-2.0	BiGG compound	thmpp	Thiamin diphosphate, Thiamin pyrophosphate, TPP, ThPP
pail45p	C04637	pail45p	phosphatidylinositol 4,5-bisphosphate 	C46.1308H77.1556O19.0P3.0	-5.0	charge based on human version in BiGG	pail45p_hs	1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate, 1-Phosphatidyl-1D-myo-inositol 4,5-bisphosphate, Phosphatidyl-myo-inositol 4,5-bisphosphate, Phosphatidylinositol-4,5-bisphosphate, 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-4',5'-bisphosphate)
collg	CC0151	collg	Collagen	C13.006941H23.093343N3.879621O4.41654S0.132888	2.95698	charge does not matter		
nac	C00253	nac	Nicotinate	C6H4NO2	-1.0	BiGG compound	nac	Nicotinic acid, Niacin, 3-Pyridinecarboxylic acid
nad	C00003	nad	Nicotinamide adenine dinucleotide	C21H26N7O14P2	-1.0	BiGG compound	nad	NAD+, NAD, DPN, Diphosphopyridine nucleotide, Nadide, beta-NAD+
betald	C00576	betald	Betaine aldehyde	C5H12NO	1.0	BiGG compound	betald	
fa11c3crn	CC0110	fa11c3crn	cis-3,4-methylenedecanoyl coa	C18H33NO4	0.0	charge and formula based on other acyl carnitines		
gbside_ce	CC0216	gbside_ce	globoside 	C63.5654H112.5778N2.0O23.0	-0.0	charge based on human version in BiGG	gbside_hs	
glycogen_BAC	CC0065	glycogen_BAC	glycogen	C6H10O5	0.0	glycogen from bacteria separated from CEL glycogen	glycogen	
glntrna	C02282	glntrna	L-Glutaminyl-tRNA(Gln)	C5H10N2O3R	1.0	tRNA formula in BiGG was modified for mass balance	glntrna	Glutaminyl-tRNA, Glutaminyl-tRNA(Gln), Gln-tRNA(Gln)
dedolp	CC0014	dedolp	Dehydrodolichol phosphate, n=18	C110H177O4P1	-2.0	assumed n=18 for the number of isoprene units; charge of this molecule comes from the P group only	dedolp_L,dedolp_U	
moco	C18237	moco	Adenylated molybdopterin	C10H10N5O8PS2Mo	-2.0	charge based on MetaCyc		Molybdoenzyme molybdenum cofactor, Molybdenum cofactor
2dr5p	C00673	2dr5p	2-Deoxy-D-ribose 5-phosphate	C5H9O7P	-2.0	BiGG compound	2dr5p	
outerlps_BAC	CC0057	outerlps_BAC	Outer section of lipopolysaccharide (bacteria)	C61H101N2O49	-1.0	charge is obvious based on general rules and similar compounds		
fa16p4n3coa	CC0092	fa16p4n3coa	Intermediary fatty acid C16:4	C37H54N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds. | See CC0067 for custom fatty acid nomenclature		
acakgp	C01264	acakgp	2-Acetyl-1-alkyl-sn-glycero-3-phosphate	C23.0H45.0O7.0P1.0	-2.0	charge is obvious based on general rules and similar compounds		
aprut	C02714	aprut	N-Acetylputrescine	C6H15N2O	1.0	BiGG compound	aprut	
dd2coa	C03221	dd2coa	trans-Dodec-2-enoyl-CoA	C33H52N7O17P3S	-4.0	BiGG compound	dd2coa	2-trans-Dodecenoyl-CoA, (2E)-Dodec-2-enoyl-CoA, (2E)-Dodecenoyl-CoA
gluala	C03740	gluala	5-L-Glutamyl-L-alanine	C8H13N2O5	-1.0	BiGG compound	gluala	(5-L-Glutamyl)-L-amino acid, L-gamma-Glutamyl-L-amino acid
glc-D-B	C00221	glc-D-B	beta-D-Glucose	C6H12O6	0.0	charge based on D-glucose	glc-D	
glc-D-A	C00267	glc-D-A	alpha-D-Glucose	C6H12O6	0.0	charge based on D-glucose	glc-D	
3odcoa	C05265	3odcoa	3-Oxodecanoyl-CoA	C31H48N7O18P3S	-4.0	BiGG compound	3odcoa	
oh1	C01328	oh1	hydroxide ion	HO	-1.0	BiGG compound	oh1	HO-, OH-
paps	C00053	paps	3'-Phosphoadenylyl sulfate	C10H11N5O13P2S	-4.0	BiGG compound	paps	3'-Phosphoadenosine 5'-phosphosulfate, 3'-Phospho-5'-adenylyl sulfate, PAPS
ump	C00105	ump	UMP	C9H11N2O9P	-2.0	BiGG compound	ump	Uridylic acid, Uridine monophosphate, Uridine 5'-monophosphate, 5'Uridylic acid
alkenglyc	C15645	alkenglyc	1-(1-Alkenyl)-sn-glycerol	C21.0H42.0O3.0	-0.0	charge is obvious based on general rules and similar compounds		
trnalys	C01646	trnalys	tRNA(Lys)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnalys	
arachd	C00219	arachd	arachidonic acid	C20H31O2	-1.0	BiGG compound	arachd	Arachidonate, (5Z,8Z,11Z,14Z)-Icosatetraenoic acid, cis-5,8,11,14-Eicosatetraenoic acid
cbasp	C00438	cbasp	N-Carbamoyl-L-aspartate	C5H6N2O5	-2.0	BiGG compound	cbasp	
lac-L	C00186	lac-L	L-Lactate	C3H5O3	-1.0	BiGG compound	lac-L	(S)-Lactate, L-Lactic acid
1p3h5c	C04281	1p3h5c	L-1-Pyrroline-3-hydroxy-5-carboxylate	C5H6NO3	-1.0	BiGG compound	1p3h5c	3-Hydroxy-L-1-pyrroline-5-carboxylate, (3R,5S)-1-Pyrroline-3-hydroxy-5-carboxylate
nadph	C00005	nadph	Nicotinamide adenine dinucleotide phosphate - reduced	C21H26N7O17P3	-4.0	BiGG compound	nadph	NADPH, TPNH, Reduced nicotinamide adenine dinucleotide phosphate
pnto-R	C00864	pnto-R	(R)-Pantothenate	C9H16NO5	-1.0	BiGG compound	pnto-R	Pantothenate, Pantothenic acid
gal	C00124	gal	D-Galactose	C6H12O6	0.0	BiGG compound	gal	D-Galactopyranose
7a3o4chlstnt	C17337	7a3o4chlstnt	7alpha-Hydroxy-3-oxo-4-cholestenoate	C27H41O4	-1.0	charge based on another bile acid with a very similar structure, cholate		
fn2m2masn	CC0036	fn2m2masn	N4-{N-Acetyl-beta-D-glucosaminyl-(1,2)-alpha-D-mannosyl-(1,3)-[N-acetyl-beta-D-glucosaminyl-(1,2)-alpha-D-mannosyl-(1,6)]-beta-D-mannosyl-(1,4)-N-acetyl-beta-D-glucosaminyl-(1,4)-[alpha-L-fucosyl-(1,6)]-N-acetyl-beta-D-glucosaminyl}asparagine	C60.0H100.0N6.0O42.0	-0.0	designated as G00016 in KEGG nomenclature	fn2m2masn	
glutrna	C02987	glutrna	L-Glutamyl-tRNA(Glu)	C5H8NO4R	0.0	tRNA formula in BiGG was modified for mass balance	glutrna	
20HETE	C14748	20HETE	20-Hydroxyeicosatetraenoic acid	C20H31O3	-1.0	ReconX compound		20-HETE, (5Z,8Z,11Z,14Z)-20-Hydroxyicosa-5,8,11,14-tetraenoic acid, 20-Hydroxyicosatetraenoic acid, 20-Hydroxy arachidonic acid
prostgh2	C00427	prostgh2	Prostaglandin H2	C20H31O5	-1.0	BiGG compound	prostgh2	(5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-dienoate, (5Z,13E,15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-dienoate, PGH2, (5Z,9alpha,11alpha,13E,15S)-9,11-Epidioxy-15-hydroxy-prosta-5,13-dienoate
hpyr	C00168	hpyr	Hydroxypyruvate	C3H3O4	-1.0	BiGG compound	hpyr	Hydroxypyruvic acid, 3-Hydroxypyruvate, 3-Hydroxypyruvic acid
