	Abbreviation	Name	Formula	Charge	Comments	BiGG	Other names
CC0212	galside_ce	galactocerebroside 	C25H48NO7FULLRCO	0.0	charge based on human version in BiGG	galside_hs	
C00526	duri	Deoxyuridine	C9H12N2O5	0	BiGG compound	duri	2-Deoxyuridine, 2'-Deoxyuridine
C05844	glutaur	5-L-Glutamyl-taurine	C7H13N2O6S	-1.0	charge based on gluala and glucys, which take their sign from the glutamyl component; also taur itself has zero charge		5-Glutamyl-taurine, Glutaurine
C05262	3hddcoa	(S)-3-Hydroxydodecanoyl-CoA	C33H54N7O18P3S	-4	BiGG compound	3hddcoa	
CC0157	rq9	Rhodoquinone-9	C53H81NO3	0.0	charge and formula based on q9		
C00169	cbp	Carbamoyl phosphate	CH2NO5P	-2	BiGG compound	cbp	
CC0112	fa19c11crn	cis-11,12-methyleneoctadecanoyl carnitine	C26H49NO4	0.0	charge and formula based on other acyl carnitines		
C04253	etfox	Electron transfer flavoprotein oxidized	R	0	BiGG compound	etfox	Electron-transferring flavoprotein, Electron-transfer flavoprotein
CC0067	fa16p1n7coa	Palmitoleyl-coA	C37H60N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds due to long neutral fatty acid chain and coa with well-determined charge. | nomenclature: fatty-acid, C number, p for pi, number of pi bonds, n as in omega nomenclature, C of first pi from the chain tip as in the omega nomenclature		
C05266	3hocoa	(S)-3-Hydroxyoctanoyl-CoA	C29H46N7O18P3S	-4	BiGG compound	3hocoa	(S)-3-Hydroxycapryloyl-CoA, (S)-Hydroxyoctanoyl-CoA
C00068	thmpp	Thiamine diphosphate	C12H16N4O7P2S	-2	BiGG compound	thmpp	Thiamin diphosphate, Thiamin pyrophosphate, TPP, ThPP
C04637	pail45p	phosphatidylinositol 4,5-bisphosphate 	C9H14O15P3FULLRCO2FULLR2CO2	-5.0	charge based on human version in BiGG	pail45p_hs	1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate, 1-Phosphatidyl-1D-myo-inositol 4,5-bisphosphate, Phosphatidyl-myo-inositol 4,5-bisphosphate, Phosphatidylinositol-4,5-bisphosphate, 1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-4',5'-bisphosphate)
CC0151	collg	Collagen	X	0.0	charge does not matter		
C00253	nac	Nicotinate	C6H4NO2	-1	BiGG compound	nac	Nicotinic acid, Niacin, 3-Pyridinecarboxylic acid
C00003	nad	Nicotinamide adenine dinucleotide	C21H26N7O14P2	-1	BiGG compound	nad	NAD+, NAD, DPN, Diphosphopyridine nucleotide, Nadide, beta-NAD+
C00576	betald	Betaine aldehyde	C5H12NO	1	BiGG compound	betald	
CC0110	fa11c3crn	cis-3,4-methylenedecanoyl coa	C18H33NO4	0.0	charge and formula based on other acyl carnitines		
CC0216	gbside_ce	globoside 	C45H81N2O22FULLRCO	0.0	charge based on human version in BiGG	gbside_hs	
CC0065	glycogen_BAC	glycogen	C6H10O5	0.0	glycogen from bacteria separated from CEL glycogen	glycogen	
C02282	glntrna	L-Glutaminyl-tRNA(Gln)	C5H10N2O3R	1.0	tRNA formula in BiGG was modified for mass balance	glntrna	Glutaminyl-tRNA, Glutaminyl-tRNA(Gln), Gln-tRNA(Gln)
CC0014	dedolp	Dehydrodolichol phosphate, n=18	C110H177O4P1	-2.0	assumed n=18 for the number of isoprene units; charge of this molecule comes from the P group only	dedolp_L,dedolp_U	
C18237	moco	Adenylated molybdopterin	C10H10N5O8PS2Mo	-2.0	charge based on MetaCyc		Molybdoenzyme molybdenum cofactor, Molybdenum cofactor
C00673	2dr5p	2-Deoxy-D-ribose 5-phosphate	C5H9O7P	-2	BiGG compound	2dr5p	
CC0057	outerlps_BAC	Outer section of lipopolysaccharide (bacteria)	C61H101N2O49	-1.0	charge is obvious based on general rules and similar compounds		
CC0092	fa16p4n3coa	Intermediary fatty acid C16:4	C37H54N7O17P3S	-4.0	charge is obvious based on general rules and similar compounds. | See CC0067 for custom fatty acid nomenclature		
C01264	acakgp	2-Acetyl-1-alkyl-sn-glycero-3-phosphate	C5H8O7PRC2H4	-2.0	charge is obvious based on general rules and similar compounds		
C02714	aprut	N-Acetylputrescine	C6H15N2O	1	BiGG compound	aprut	
C03221	dd2coa	trans-Dodec-2-enoyl-CoA	C33H52N7O17P3S	-4	BiGG compound	dd2coa	2-trans-Dodecenoyl-CoA, (2E)-Dodec-2-enoyl-CoA, (2E)-Dodecenoyl-CoA
C03740	gluala	5-L-Glutamyl-L-alanine	C8H13N2O5	-1	BiGG compound	gluala	(5-L-Glutamyl)-L-amino acid, L-gamma-Glutamyl-L-amino acid
C00221	glc-D-B	beta-D-Glucose	C6H12O6	0.0	charge based on D-glucose	glc-D	
C00267	glc-D-A	alpha-D-Glucose	C6H12O6	0.0	charge based on D-glucose	glc-D	
C05265	3odcoa	3-Oxodecanoyl-CoA	C31H48N7O18P3S	-4	BiGG compound	3odcoa	
C01328	oh1	hydroxide ion	HO	-1	BiGG compound	oh1	HO-, OH-
C00053	paps	3'-Phosphoadenylyl sulfate	C10H11N5O13P2S	-4	BiGG compound	paps	3'-Phosphoadenosine 5'-phosphosulfate, 3'-Phospho-5'-adenylyl sulfate, PAPS
C00105	ump	UMP	C9H11N2O9P	-2	BiGG compound	ump	Uridylic acid, Uridine monophosphate, Uridine 5'-monophosphate, 5'Uridylic acid
C15645	alkenglyc	1-(1-Alkenyl)-sn-glycerol	C3H7O3RC2H2	0.0	charge is obvious based on general rules and similar compounds		
C01646	trnalys	tRNA(Lys)	ROH	0.0	tRNA formula in BiGG was modified for mass balance	trnalys	
C00510	odecoa	Octadecenoyl-CoA (n-C18:1CoA)	C39H64N7O17P3S	-4	BiGG compound	odecoa	Oleoyl-CoA, (9Z)-Octadecenoyl-CoA
C00438	cbasp	N-Carbamoyl-L-aspartate	C5H6N2O5	-2	BiGG compound	cbasp	
C00186	lac-L	L-Lactate	C3H5O3	-1	BiGG compound	lac-L	(S)-Lactate, L-Lactic acid
C04281	1p3h5c	L-1-Pyrroline-3-hydroxy-5-carboxylate	C5H6NO3	-1	BiGG compound	1p3h5c	3-Hydroxy-L-1-pyrroline-5-carboxylate, (3R,5S)-1-Pyrroline-3-hydroxy-5-carboxylate
C00005	nadph	Nicotinamide adenine dinucleotide phosphate - reduced	C21H26N7O17P3	-4	BiGG compound	nadph	NADPH, TPNH, Reduced nicotinamide adenine dinucleotide phosphate
C00864	pnto-R	(R)-Pantothenate	C9H16NO5	-1	BiGG compound	pnto-R	Pantothenate, Pantothenic acid
C00124	gal	D-Galactose	C6H12O6	0	BiGG compound	gal	D-Galactopyranose
C17337	7a3o4chlstnt	7alpha-Hydroxy-3-oxo-4-cholestenoate	C27H41O4	-1.0	charge based on another bile acid with a very similar structure, cholate		
CC0036	fn2m2masn	N4-{N-Acetyl-beta-D-glucosaminyl-(1,2)-alpha-D-mannosyl-(1,3)-[N-acetyl-beta-D-glucosaminyl-(1,2)-alpha-D-mannosyl-(1,6)]-beta-D-mannosyl-(1,4)-N-acetyl-beta-D-glucosaminyl-(1,4)-[alpha-L-fucosyl-(1,6)]-N-acetyl-beta-D-glucosaminyl}asparagine	C56H93N4O39X	0.0	designated as G00016 in KEGG nomenclature	fn2m2masn	
C02987	glutrna	L-Glutamyl-tRNA(Glu)	C5H8NO4R	0.0	tRNA formula in BiGG was modified for mass balance	glutrna	
C14748	20HETE	20-Hydroxyeicosatetraenoic acid	C20H31O3	-1.0	ReconX compound		20-HETE, (5Z,8Z,11Z,14Z)-20-Hydroxyicosa-5,8,11,14-tetraenoic acid, 20-Hydroxyicosatetraenoic acid, 20-Hydroxy arachidonic acid
C00427	prostgh2	Prostaglandin H2	C20H31O5	-1	BiGG compound	prostgh2	(5Z,13E)-(15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-dienoate, (5Z,13E,15S)-9alpha,11alpha-Epidioxy-15-hydroxyprosta-5,13-dienoate, PGH2, (5Z,9alpha,11alpha,13E,15S)-9,11-Epidioxy-15-hydroxy-prosta-5,13-dienoate
C00168	hpyr	Hydroxypyruvate	C3H3O4	-1	BiGG compound	hpyr	Hydroxypyruvic acid, 3-Hydroxypyruvate, 3-Hydroxypyruvic acid
